Volcano_Type,Volcano_Name,Volcanic_Explosivity_Index,Elevation,Status,Deaths,Total_Deaths,Country,Coordinates,Year,Month,Day,Flag_Tsunami,Flag_Earthquake
Stratovolcano,Sakura-jima,5,1117,Historical,0,0,Japan,"31.58, 130.67",1471,11,3,FALSE,FALSE
Stratovolcano,Bardarbunga,6,2000,Historical,0,0,Iceland,"64.63, -17.53",1477,2,0,FALSE,FALSE
Caldera,Aso,2,1592,Historical,1,1,Japan,"32.88, 131.1",1485,1,0,FALSE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",1500,0,0,FALSE,FALSE
Stratovolcano,Hekla,4,1491,Historical,1,1,Iceland,"63.98, -19.7",1510,7,25,FALSE,FALSE
Stratovolcano,Hekla,4,1491,Historical,0,0,Iceland,"63.98, -19.7",1510,10,15,FALSE,FALSE
Stratovolcano,Etna,3,3350,Historical,1,1,Italy,"37.734, 15.004",1536,3,23,FALSE,FALSE
Caldera,Campi Flegrei,3,458,Historical,24,24,Italy,"40.827, 14.139",1538,9,29,FALSE,FALSE
Lava dome,Augustine,4,1252,Historical,0,0,United States,"59.37, -153.42",1540,0,0,TRUE,FALSE
Complex volcano,Dukono,3,1185,Historical,0,0,Indonesia,"1.68, 127.88",1550,11,0,FALSE,FALSE
Stratovolcano,Gamkonora,3,1635,Historical,0,0,Indonesia,"1.375, 127.52",1564,12,31,FALSE,FALSE
Complex volcano,Pacaya,3,2552,Historical,0,0,Guatemala,"14.381, -90.601",1565,8,0,FALSE,TRUE
Shield volcano,Kirishima,3,1700,Historical,0,0,Japan,"31.93, 130.87",1566,10,31,FALSE,FALSE
Stratovolcano,Savo,3,510,Historical,1001,1001,Solomon Is.,"-9.13, 159.82",1568,0,0,FALSE,FALSE
Stratovolcano,Mombacho,0,1344,Holocene,400,400,Nicaragua,"11.826, -85.968",1570,0,0,FALSE,FALSE
Stratovolcano,Colima,3,3850,Historical,0,0,Mexico,"19.514, -103.62",1576,0,0,FALSE,FALSE
Fissure vent,San Jorge,3,1053,Historical,10,10,Portugal,"38.65, -28.08",1580,5,1,FALSE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",1580,8,11,FALSE,FALSE
Pyroclastic shield,Billy Mitchell,6,1544,Radiocarbon,0,0,Papua New Guinea,"-6.092, 155.225",1580,0,0,FALSE,FALSE
Stratovolcano,Fuego,4,3763,Historical,0,0,Guatemala,"14.473, -90.88",1581,12,26,FALSE,FALSE
Stratovolcano,Kelut,5,1731,Historical,10000,10000,Indonesia,"-7.93, 112.308",1586,0,0,FALSE,FALSE
Stratovolcano,Merapi,4,2947,Historical,0,0,Indonesia,"-7.542, 110.442",1587,0,0,FALSE,FALSE
Stratovolcano,Colima,3,3850,Historical,0,0,Mexico,"19.514, -103.62",1590,1,15,FALSE,FALSE
Stratovolcano,Raung,5,3332,Historical,0,0,Indonesia,"-8.125, 114.042",1593,0,0,FALSE,FALSE
Stratovolcano,Ruiz,4,5321,Historical,636,636,Colombia,"4.895, -75.322",1595,3,12,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,0,0,Japan,"36.4, 138.53",1596,5,1,FALSE,FALSE
Stratovolcano,Raung,3,3332,Historical,0,0,Indonesia,"-8.125, 114.042",1597,0,0,FALSE,FALSE
Stratovolcano,Hekla,4,1491,Historical,0,0,Iceland,"63.98, -19.7",1597,1,3,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,800,800,Japan,"36.4, 138.53",1598,5,13,FALSE,FALSE
Caldera,Banda Api,3,640,Historical,0,0,Pacific Ocean,"-4.525, 129.871",1598,0,0,FALSE,FALSE
Stratovolcano,Huaynaputina,6,4850,Historical,1500,1500,Peru,"-16.608, -70.85",1600,2,19,FALSE,TRUE
Stratovolcano,Hachijo-jima,2,854,Historical,0,0,Japan,"33.13, 139.77",1606,1,23,TRUE,FALSE
Stratovolcano,Gamalama,3,1715,Historical,0,0,Indonesia,"0.8, 127.325",1608,7,18,TRUE,FALSE
Pyroclastic cone,Tengchong,0,2865,Historical,0,0,China,"25.32, 98.47",1609,0,0,FALSE,FALSE
Caldera,Banda Api,3,640,Historical,0,0,Pacific Ocean,"-4.525, 129.871",1615,3,0,FALSE,FALSE
Stratovolcano,Fuego,3,3763,Historical,0,0,Guatemala,"14.473, -90.88",1617,0,0,FALSE,FALSE
Subglacial volcano,Katla,5,1512,Historical,0,0,Iceland,"63.63, -19.05",1625,9,2,FALSE,FALSE
Caldera,Grimsvotn,2,1725,Historical,4,4,Iceland,"64.42, -17.33",1629,0,0,FALSE,FALSE
Stratovolcano,Furnas,4,805,Historical,200,200,Portugal,"37.77, -25.32",1630,9,3,FALSE,FALSE
Shield volcano,Dama Ali,0,1068,Historical,50,50,Ethiopia,"11.28, 41.63",1631,2,14,FALSE,TRUE
Complex volcano,Vesuvius,5,1281,Historical,4000,4000,Italy,"40.821, 14.426",1631,12,16,TRUE,TRUE
Stratovolcano,Hekla,3,1491,Historical,0,0,Iceland,"63.98, -19.7",1636,5,15,FALSE,FALSE
Stratovolcano,Raung,4,3332,Historical,1001,1001,Indonesia,"-8.125, 114.042",1638,0,0,FALSE,FALSE
Stratovolcano,Komaga-take,5,1140,Historical,0,700,Japan,"42.07, 140.68",1640,7,31,TRUE,TRUE
Stratovolcano,Tungurahua,3,5023,Historical,5000,5000,Ecuador,"-1.467, -78.442",1640,0,0,FALSE,FALSE
Stratovolcano,Makian,4,1357,Historical,0,0,Indonesia,"0.32, 127.4",1646,7,19,FALSE,FALSE
Shield volcano,Santorini,4,329,Historical,120,120,Greece,"36.404, 25.396",1650,9,26,TRUE,FALSE
Stratovolcano,Teon,4,655,Historical,0,0,Pacific Ocean,"-6.92, 129.125",1659,11,11,TRUE,FALSE
Stratovolcano,San Salvador,3,1893,Historical,0,0,El Salvador,"13.736, -89.286",1659,9,30,FALSE,TRUE
Stratovolcano,Teon,4,655,Historical,3,3,Pacific Ocean,"-6.92, 129.125",1660,2,0,FALSE,FALSE
Complex volcano,Long Island,6,1280,Historical,2000,2000,Papua New Guinea,"-5.358, 147.12",1660,0,0,TRUE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",1660,11,3,FALSE,FALSE
Stratovolcano,Usu,5,731,Historical,5,5,Japan,"42.53, 140.83",1663,8,16,FALSE,FALSE
Complex volcano,Unzen,2,1500,Historical,30,30,Japan,"32.75, 130.3",1664,4,15,FALSE,FALSE
Complex volcano,Iwo-Tori-shima,0,217,Historical,0,0,Japan,"27.85, 128.25",1664,0,0,TRUE,FALSE
Stratovolcano,Etna,3,3350,Historical,0,0,Italy,"37.734, 15.004",1669,3,11,FALSE,TRUE
Stratovolcano,Etna,3,3350,Historical,2,2,Italy,"37.734, 15.004",1669,3,19,FALSE,FALSE
Shield volcano,Aoba,2,1496,Historical,0,0,Vanuatu,"-15.4, 167.83",1670,0,0,FALSE,FALSE
Stratovolcano,Merapi,3,2947,Historical,3000,3000,Indonesia,"-7.542, 110.442",1672,8,4,FALSE,FALSE
Stratovolcano,Fayal,2,1043,Historical,3,3,Portugal,"38.6, -28.73",1672,4,24,FALSE,FALSE
Stratovolcano,Gamkonora,5,1635,Historical,0,0,Indonesia,"1.375, 127.52",1673,5,20,TRUE,FALSE
Stratovolcano,La Palma,2,2426,Historical,1,1,Spain,"28.58, -17.83",1677,11,22,FALSE,FALSE
Shield volcano,Zukur,0,624,Holocene,0,0,Yemen,"14.02, 42.75",1679,9,21,FALSE,TRUE
Complex volcano,Vesuvius,3,1281,Historical,4,4,Italy,"40.821, 14.426",1682,8,12,FALSE,FALSE
Caldera,Grimsvotn,2,1725,Historical,1,1,Iceland,"64.42, -17.33",1684,12,0,FALSE,FALSE
Complex volcano,Vesuvius,0,1281,Historical,0,0,Italy,"40.821, 14.426",1690,2,3,TRUE,FALSE
Complex volcano,Guntur,3,2249,Historical,0,0,Indonesia,"-7.13, 107.83",1690,0,0,FALSE,FALSE
Stratovolcano,Serua,4,641,Historical,0,0,Pacific Ocean,"-6.3, 130.0",1692,6,4,FALSE,FALSE
Stratovolcano,Etna,0,3350,Historical,0,0,Italy,"37.734, 15.004",1693,1,9,FALSE,TRUE
Stratovolcano,Hekla,4,1491,Historical,0,0,Iceland,"63.98, -19.7",1693,2,13,TRUE,FALSE
Caldera,Banda Api,3,640,Historical,0,0,Pacific Ocean,"-4.525, 129.871",1694,11,20,FALSE,FALSE
Stratovolcano,Cotopaxi,3,5911,Historical,0,0,Ecuador,"-0.677, -78.436",1698,0,0,FALSE,FALSE
Complex volcano,Vesuvius,3,1281,Historical,0,0,Italy,"40.821, 14.426",1698,5,0,TRUE,FALSE
Stratovolcano,Cereme,3,3078,Historical,0,0,Indonesia,"-6.892, 108.4",1698,0,0,FALSE,FALSE
Stratovolcano,Tenerife,2,3715,Historical,0,0,Spain,"28.271, -16.641",1706,5,5,TRUE,FALSE
Shield volcano,Santorini,0,329,Historical,0,0,Greece,"36.404, 25.396",1707,5,0,TRUE,FALSE
Stratovolcano,Fuji,4,3776,Historical,0,0,Japan,"35.35, 138.73",1707,12,16,FALSE,TRUE
Stratovolcano,Awu,3,1320,Historical,3000,3000,Indonesia,"3.67, 125.5",1711,12,11,FALSE,FALSE
Stratovolcano,Bardarbunga,2,2000,Historical,0,0,Iceland,"64.63, -17.53",1712,1,15,FALSE,FALSE
Complex volcano,Vesuvius,0,1281,Historical,0,0,Italy,"40.821, 14.426",1714,6,30,TRUE,FALSE
Shield volcano,Kirishima,3,1700,Historical,1,1,Japan,"31.93, 130.87",1716,11,9,FALSE,FALSE
Stratovolcano,Bardarbunga,2,2000,Historical,0,0,Iceland,"64.63, -17.53",1716,10,5,FALSE,FALSE
Stratovolcano,Taal,4,400,Historical,0,0,Philippines,"14.002, 120.993",1716,9,24,TRUE,TRUE
Stratovolcano,Kelut,2,1731,Historical,0,0,Indonesia,"-7.93, 112.308",1716,7,20,FALSE,FALSE
Stratovolcano,Bardarbunga,3,2000,Historical,0,0,Iceland,"64.63, -17.53",1717,8,4,FALSE,FALSE
Shield volcano,Kirishima,3,1700,Historical,1,1,Japan,"31.93, 130.87",1717,2,7,FALSE,FALSE
Stratovolcano,Fuego,3,3763,Historical,0,0,Guatemala,"14.473, -90.88",1717,8,27,FALSE,FALSE
Stratovolcano,Pico,2,2351,Historical,2,2,Portugal,"38.47, -28.4",1718,2,1,FALSE,FALSE
Complex volcano,Asama,1,2560,Historical,15,15,Japan,"36.4, 138.53",1721,6,22,FALSE,FALSE
Subglacial volcano,Katla,5,1512,Historical,0,0,Iceland,"63.63, -19.05",1721,5,11,FALSE,FALSE
Stratovolcano,Bardarbunga,1,2000,Historical,0,0,Iceland,"64.63, -17.53",1726,2,1,FALSE,FALSE
Stratovolcano,Oraefajokull,4,2119,Historical,3,3,Iceland,"64.0, -16.65",1727,8,3,FALSE,FALSE
Caldera,Krafla,2,650,Historical,0,0,Iceland,"65.73, -16.78",1729,6,30,FALSE,FALSE
Stratovolcano,Bardarbunga,1,2000,Historical,0,0,Iceland,"64.63, -17.53",1729,2,1,FALSE,FALSE
Pyroclastic cone,Tseax River Cone,0,609,Radiocarbon,0,0,Canada,"55.12, -128.9",1730,0,0,FALSE,FALSE
Stratovolcano,Raung,3,3332,Historical,0,0,Indonesia,"-8.125, 114.042",1730,0,0,FALSE,FALSE
Fissure vent,Lanzarote,2,670,Historical,0,0,Spain,"29.03, -13.63",1730,9,1,FALSE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,2,2,Italy,"40.821, 14.426",1737,5,20,FALSE,FALSE
Stratovolcano,Oshima-Oshima,4,737,Historical,0,2000,Japan,"41.5, 139.37",1741,8,23,TRUE,FALSE
Stratovolcano,Cotopaxi,3,5911,Historical,0,0,Ecuador,"-0.677, -78.436",1742,12,9,FALSE,FALSE
Stratovolcano,Cotopaxi,3,5911,Historical,0,0,Ecuador,"-0.677, -78.436",1742,6,15,FALSE,FALSE
Stratovolcano,Taal,3,400,Historical,0,0,Philippines,"14.002, 120.993",1749,8,11,TRUE,TRUE
Caldera,Grimsvotn,2,1725,Historical,0,0,Iceland,"64.42, -17.33",1753,10,15,FALSE,FALSE
Stratovolcano,Taal,4,400,Historical,12,12,Philippines,"14.002, 120.993",1754,5,13,TRUE,TRUE
Subglacial volcano,Katla,4,1512,Historical,2,2,Iceland,"63.63, -19.05",1755,10,17,FALSE,FALSE
Fissure vent,San Jorge,0,1053,Historical,0,1053,Portugal,"38.65, -28.08",1757,7,9,FALSE,TRUE
Stratovolcano,Makian,4,1357,Historical,2000,2000,Indonesia,"0.32, 127.4",1760,0,0,FALSE,FALSE
Stratovolcano,Kliuchevskoi,2,4835,Historical,0,0,Russia,"56.057, 160.638",1762,0,0,FALSE,FALSE
Stratovolcano,Hekla,4,1491,Historical,0,0,Iceland,"63.98, -19.7",1766,4,5,FALSE,FALSE
Stratovolcano,Mayon,3,2462,Historical,49,49,Philippines,"13.257, 123.685",1766,7,20,FALSE,FALSE
Stratovolcano,Cotopaxi,4,5911,Historical,0,0,Ecuador,"-0.677, -78.436",1768,4,4,FALSE,FALSE
Stratovolcano,Papandayan,3,2665,Historical,2957,2957,Indonesia,"-7.32, 107.73",1772,8,12,FALSE,FALSE
Stratovolcano,Gamalama,3,1715,Historical,35,35,Indonesia,"0.8, 127.325",1772,5,9,TRUE,FALSE
Stratovolcano,Gamalama,2,1715,Historical,0,0,Indonesia,"0.8, 127.325",1773,2,2,FALSE,FALSE
Stratovolcano,Gamalama,3,1715,Historical,1300,1300,Indonesia,"0.8, 127.325",1775,0,0,FALSE,FALSE
Stratovolcano,Lokon-Empung,3,1580,Historical,0,0,Indonesia,"1.358, 124.792",1775,0,0,FALSE,FALSE
Stratovolcano,Raikoke,4,551,Historical,15,15,Russia,"48.292, 153.25",1778,0,0,FALSE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,153,153,Japan,"31.58, 130.67",1779,11,8,FALSE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,0,0,Italy,"40.821, 14.426",1779,8,8,FALSE,FALSE
Stratovolcano,Sakura-jima,0,1117,Historical,0,0,Japan,"31.58, 130.67",1780,10,31,TRUE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,0,0,Japan,"31.58, 130.67",1780,9,9,TRUE,FALSE
Stratovolcano,Aoga-shima,3,423,Historical,7,7,Japan,"32.45, 139.77",1780,7,27,FALSE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,0,0,Japan,"31.58, 130.67",1780,2,9,FALSE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,23,38,Japan,"31.58, 130.67",1781,4,11,TRUE,FALSE
Complex volcano,Asama,4,2560,Historical,1491,1491,Japan,"36.4, 138.53",1783,8,5,FALSE,FALSE
Stratovolcano,Sabancaya,0,5967,Historical,0,0,Peru,"-15.78, -71.85",1784,7,0,FALSE,FALSE
Shield volcano,Hualalai,0,2523,Historical,0,0,United States,"19.692, -155.87",1784,0,0,FALSE,FALSE
Caldera,Grimsvotn,4,1725,Historical,0,9350,Iceland,"64.42, -17.33",1784,4,0,FALSE,FALSE
Stratovolcano,Aoga-shima,3,423,Historical,135,135,Japan,"32.45, 139.77",1785,4,18,FALSE,FALSE
Complex volcano,Dieng Volc Complex,2,2565,Historical,38,38,Indonesia,"-7.2, 109.92",1786,0,0,FALSE,FALSE
Stratovolcano,Oshima,2,758,Historical,0,0,Japan,"34.73, 139.38",1789,0,0,FALSE,FALSE
Shield volcano,Kilauea,4,1222,Historical,5405,5405,United States,"19.425, -155.292",1790,11,0,FALSE,FALSE
Complex volcano,Unzen,2,1500,Historical,0,15000,Japan,"32.75, 130.3",1792,5,21,TRUE,TRUE
Complex volcano,Vesuvius,3,1281,Historical,400,400,Italy,"40.821, 14.426",1794,6,15,FALSE,FALSE
Stratovolcano,Kieyo,2,2175,Historical,0,0,Tanzania,"-9.23, 33.78",1800,0,0,FALSE,FALSE
Shield volcano,Hualalai,0,2523,Historical,2,2,United States,"19.692, -155.87",1800,0,0,FALSE,FALSE
Complex volcano,Guntur,0,2249,Historical,0,0,Indonesia,"-7.13, 107.83",1800,10,8,FALSE,FALSE
Fissure vent,San Jorge,1,1053,Historical,9,9,Portugal,"38.65, -28.08",1800,6,24,FALSE,FALSE
Stratovolcano,St. Helens,5,2549,Historical,0,0,United States,"46.2, -122.18",1800,0,0,FALSE,FALSE
Stratovolcano,Mayon,2,2462,Historical,0,0,Philippines,"13.257, 123.685",1800,10,30,FALSE,FALSE
Stratovolcano,Chokai,2,2237,Historical,8,8,Japan,"39.08, 140.03",1801,7,0,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,0,0,Japan,"36.4, 138.53",1803,11,7,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,0,0,Japan,"36.4, 138.53",1803,7,4,FALSE,FALSE
Caldera,Shikotsu,3,1320,Historical,0,0,Japan,"42.7, 141.33",1804,0,0,FALSE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,4,4,Italy,"40.821, 14.426",1805,8,11,FALSE,FALSE
Stratovolcano,Awu,3,1320,Historical,953,953,Indonesia,"3.67, 125.5",1812,8,6,FALSE,FALSE
Stratovolcano,Soufriere St. Vincent,4,1220,Historical,56,56,St. Vincent & the Grenadines,"13.33, -61.18",1812,4,27,FALSE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,0,0,Italy,"40.821, 14.426",1813,5,0,TRUE,FALSE
Stratovolcano,Mayon,4,2462,Historical,1200,1200,Philippines,"13.257, 123.685",1814,2,1,FALSE,FALSE
Stratovolcano,Tambora,7,2850,Historical,11000,60000,Indonesia,"-8.25, 118.0",1815,4,10,TRUE,FALSE
