Volcano_Type,Volcano_Name,Volcanic_Explosivity_Index,Elevation,Status,Deaths,Total_Deaths,Country,Coordinates,Year,Month,Day,Flag_Tsunami,Flag_Earthquake
Stratovolcano,Cosiguina,5,872,Historical,0,0,Nicaragua,"12.98, -87.57",1835,1,20,FALSE,FALSE
Complex volcano,Peuet Sague,0,2801,Historical,0,0,Indonesia,"4.914, 96.329",1837,9,0,TRUE,TRUE
Stratovolcano,Gamalama,2,1715,Historical,4,4,Indonesia,"0.8, 127.325",1838,2,26,FALSE,FALSE
Submarine volcano,Unnamed,2,-642,Uncertain,0,0,Chile,"-33.62, -76.83",1839,2,12,TRUE,FALSE
Stratovolcano,Gamalama,2,1715,Historical,0,0,Indonesia,"0.8, 127.325",1840,2,2,TRUE,FALSE
Stratovolcano,Savo,3,510,Historical,0,0,Solomon Is.,"-9.13, 159.82",1840,0,0,FALSE,FALSE
Shield volcano,Kilauea,0,1222,Historical,0,0,United States,"19.425, -155.292",1840,5,30,TRUE,FALSE
Stratovolcano,Ararat,3,5165,Holocene,1900,1900,Turkey,"39.7, 44.28",1840,7,2,FALSE,FALSE
Stratovolcano,Tinakula,3,851,Historical,0,0,Solomon Is.,"-10.38, 165.8",1840,0,0,FALSE,FALSE
Stratovolcano,Kuchinoerabu-jima,2,649,Historical,0,0,Japan,"30.43, 130.22",1841,4,0,FALSE,FALSE
Stratovolcano,Etna,2,3350,Historical,56,56,Italy,"37.734, 15.004",1843,11,17,FALSE,FALSE
Stratovolcano,Liamuiga,0,1156,Radiocarbon,0,0,St. Kitts & Nevis,"17.37, -62.8",1843,2,8,TRUE,FALSE
Stratovolcano,Soufriere Guadeloupe,0,1467,Historical,0,0,Guadeloupe,"16.05, -61.67",1843,2,17,TRUE,FALSE
Stratovolcano,Lamongan,2,1651,Historical,4,4,Indonesia,"-8.0, 113.342",1843,8,0,FALSE,FALSE
Stratovolcano,Ruiz,3,5321,Historical,1000,1000,Colombia,"4.895, -75.322",1845,2,19,FALSE,FALSE
Stratovolcano,Soputan,2,1784,Historical,0,118,Indonesia,"1.108, 124.725",1845,2,8,TRUE,TRUE
Stratovolcano,Hekla,4,1491,Historical,0,0,Iceland,"63.98, -19.7",1845,9,2,FALSE,FALSE
Stratovolcano,Tangkubanparahu,2,2084,Historical,0,0,Indonesia,"-6.77, 107.6",1846,5,27,FALSE,FALSE
Caldera,Taupo,0,760,Radiocarbon,63,63,New Zealand,"-38.82, 176.0",1846,5,7,FALSE,FALSE
Stratovolcano,E-san,1,618,Historical,0,0,Japan,"41.8, 141.17",1846,11,18,FALSE,FALSE
Stratovolcano,Fogo,2,2829,Historical,0,0,Cape Verde,"14.95, -24.35",1847,4,9,FALSE,FALSE
Complex volcano,Dieng Volc Complex,2,2565,Historical,0,0,Indonesia,"-7.2, 109.92",1847,12,4,FALSE,FALSE
Stratovolcano,Kelut,2,1731,Historical,21,21,Indonesia,"-7.93, 112.308",1848,5,16,FALSE,FALSE
Pyroclastic shield,Rabaul,2,688,Historical,0,0,Papua New Guinea,"-4.271, 152.203",1850,0,0,FALSE,FALSE
Stratovolcano,Mayon,3,2462,Historical,34,34,Philippines,"13.257, 123.685",1853,7,13,FALSE,FALSE
Shield volcano,Niuafo'ou,0,260,Historical,25,25,Tonga,"-15.6, -175.63",1853,6,24,FALSE,FALSE
Submarine volcano,Unnamed,2,0,Historical,0,0,Taiwan,"24.0, 121.83",1853,10,29,TRUE,FALSE
Caldera,Aso,2,1592,Historical,3,3,Japan,"32.88, 131.1",1854,2,0,FALSE,FALSE
Stratovolcano,Shiveluch,5,3283,Historical,0,0,Russia,"56.653, 161.36",1854,2,18,FALSE,FALSE
Stratovolcano,Alaid,3,2339,Historical,0,0,Russia,"50.858, 155.55",1854,6,27,TRUE,FALSE
Stratovolcano,Shishaldin,0,2857,Historical,0,0,United States,"54.75, -163.97",1856,7,26,TRUE,FALSE
Stratovolcano,Awu,3,1320,Historical,2806,2806,Indonesia,"3.67, 125.5",1856,3,2,TRUE,TRUE
Stratovolcano,Komaga-take,4,1140,Historical,20,20,Japan,"42.07, 140.68",1856,9,25,FALSE,FALSE
Complex volcano,Umboi,0,1548,Holocene,0,0,Papua New Guinea,"-5.589, 147.875",1857,4,17,TRUE,TRUE
Stratovolcano,Mayon,2,2462,Historical,0,0,Philippines,"13.257, 123.685",1858,1,0,FALSE,FALSE
Stratovolcano,Tate-yama,0,2621,Historical,0,0,Japan,"36.57, 137.6",1858,4,23,FALSE,TRUE
Stratovolcano,Tate-yama,0,2621,Historical,0,0,Japan,"36.57, 137.6",1858,7,3,FALSE,FALSE
Caldera,Grimsvotn,0,1725,Historical,1,1,Iceland,"64.42, -17.33",1860,0,0,FALSE,FALSE
Stratovolcano,Semeru,2,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1860,4,0,FALSE,FALSE
Stratovolcano,Fuego,2,3763,Historical,0,0,Guatemala,"14.473, -90.88",1860,8,18,FALSE,FALSE
Stratovolcano,Makian,4,1357,Historical,326,326,Indonesia,"0.32, 127.4",1861,12,29,FALSE,FALSE
Stratovolcano,Dubbi,3,1625,Historical,106,106,Eritrea,"13.58, 41.808",1861,5,7,FALSE,TRUE
Caldera,Grimsvotn,2,1725,Historical,0,0,Iceland,"64.42, -17.33",1861,5,0,FALSE,FALSE
Stratovolcano,Yasur,0,361,Historical,0,0,Vanuatu,"-19.52, 169.425",1863,8,17,TRUE,TRUE
Stratovolcano,Kelut,2,1731,Historical,54,54,Indonesia,"-7.93, 112.308",1864,1,3,FALSE,FALSE
Shield volcano,Ofu-Olosega,2,639,Historical,0,0,United States,"-14.175, -169.618",1866,9,12,TRUE,FALSE
Shield volcano,Santorini,2,329,Historical,1,1,Greece,"36.404, 25.396",1866,2,20,FALSE,FALSE
Complex volcano,Zao,2,1841,Historical,3,3,Japan,"38.15, 140.45",1867,10,21,FALSE,FALSE
Stratovolcano,Etna,0,3350,Historical,0,0,Italy,"37.734, 15.004",1868,9,5,TRUE,TRUE
Shield volcano,Mauna Loa,2,4170,Historical,0,77,United States,"19.475, -155.608",1868,4,3,TRUE,TRUE
Stratovolcano,Lamongan,2,1651,Historical,8,8,Indonesia,"-8.0, 113.342",1869,8,0,FALSE,FALSE
Stratovolcano,Lewotobi,2,1703,Historical,2,2,Indonesia,"-8.53, 122.775",1869,7,7,FALSE,FALSE
Stratovolcano,Ruang,2,725,Historical,0,0,Indonesia,"2.28, 125.425",1870,8,0,FALSE,FALSE
Shield volcano,Aoba,2,1496,Historical,0,0,Vanuatu,"-15.4, 167.83",1870,0,0,FALSE,FALSE
Complex volcano,Iliwerung,3,1018,Historical,0,0,Indonesia,"-8.54, 123.59",1870,0,0,FALSE,FALSE
Stratovolcano,Gamalama,2,1715,Historical,1,1,Indonesia,"0.8, 127.325",1871,8,7,FALSE,FALSE
Stratovolcano,Camiguin,2,1332,Historical,0,0,Philippines,"9.203, 124.673",1871,4,30,TRUE,TRUE
Stratovolcano,Mayon,3,2462,Historical,3,3,Philippines,"13.257, 123.685",1871,12,8,FALSE,FALSE
Stratovolcano,Ruang,2,725,Historical,0,400,Indonesia,"2.28, 125.425",1871,3,3,TRUE,FALSE
Stratovolcano,Merapi,4,2947,Historical,30,30,Indonesia,"-7.542, 110.442",1872,4,15,FALSE,FALSE
Stratovolcano,Merapi,4,2947,Historical,170,170,Indonesia,"-7.542, 110.442",1872,4,17,FALSE,FALSE
Stratovolcano,Sinarka,4,934,Historical,0,0,Russia,"48.875, 154.175",1872,0,0,FALSE,FALSE
Stratovolcano,Merapi,4,2947,Historical,200,200,Indonesia,"-7.542, 110.442",1872,11,3,FALSE,FALSE
Caldera,Aso,3,1592,Historical,4,4,Japan,"32.88, 131.1",1872,12,0,FALSE,FALSE
Complex volcano,Vesuvius,3,1281,Historical,9,9,Italy,"40.821, 14.426",1872,4,24,FALSE,FALSE
Complex volcano,Vesuvius,0,1281,Historical,9,9,Italy,"40.821, 14.426",1873,0,0,FALSE,FALSE
Stratovolcano,Ragang,2,2815,Historical,0,0,Philippines,"7.67, 124.5",1873,1,16,FALSE,FALSE
Stratovolcano,Taal,2,400,Historical,0,0,Philippines,"14.002, 120.993",1874,7,19,FALSE,FALSE
Stratovolcano,Miyake-jima,3,815,Historical,1,1,Japan,"34.08, 139.53",1874,7,3,FALSE,FALSE
Stratovolcano,Mayon,0,2462,Historical,1500,1500,Philippines,"13.257, 123.685",1875,0,0,FALSE,FALSE
Stratovolcano,Kelut,0,1731,Historical,0,0,Indonesia,"-7.93, 112.308",1875,1,29,FALSE,FALSE
Stratovolcano,Askja,5,1516,Historical,0,0,Iceland,"65.03, -16.75",1875,3,29,FALSE,FALSE
Shield volcano,Mauna Loa,0,4170,Historical,0,0,United States,"19.475, -155.608",1877,2,14,TRUE,TRUE
Stratovolcano,Cotopaxi,4,5911,Historical,340,340,Ecuador,"-0.677, -78.436",1877,6,25,FALSE,FALSE
Stratovolcano,Yasur,0,361,Historical,0,0,Vanuatu,"-19.52, 169.425",1878,2,11,TRUE,TRUE
Pyroclastic shield,Rabaul,3,688,Historical,1,1,Papua New Guinea,"-4.271, 152.203",1878,1,0,TRUE,TRUE
Shield volcano,Okmok,2,1073,Historical,0,0,United States,"53.42, -168.13",1878,8,29,TRUE,TRUE
Stratovolcano,Yasur,3,361,Historical,0,0,Vanuatu,"-19.52, 169.425",1878,1,10,TRUE,FALSE
Stratovolcano,Stromboli,2,926,Historical,0,0,Italy,"38.789, 15.213",1879,2,4,TRUE,FALSE
Shield volcano,Karthala,2,2361,Historical,0,0,Comoros,"-11.75, 43.38",1883,3,0,FALSE,FALSE
Caldera,Krakatau,0,813,Historical,0,0,Indonesia,"-6.102, 105.423",1883,10,10,TRUE,FALSE
Lava dome,Augustine,4,1252,Historical,8,8,United States,"59.37, -153.42",1883,10,6,TRUE,FALSE
Lava cone,Bagana,3,1750,Historical,0,0,Papua New Guinea,"-6.14, 155.195",1883,12,0,FALSE,FALSE
Caldera,Krakatau,6,813,Historical,2000,36417,Indonesia,"-6.102, 105.423",1883,8,27,TRUE,FALSE
Caldera,Krakatau,0,813,Historical,0,0,Indonesia,"-6.102, 105.423",1884,2,0,TRUE,FALSE
Stratovolcano,Semeru,2,3676,Historical,74,74,Indonesia,"-8.108, 112.92",1885,4,18,FALSE,FALSE
Stratovolcano,Purace,3,4650,Historical,0,0,Colombia,"2.32, -76.4",1885,5,25,FALSE,TRUE
Shield volcano,Niuafo'ou,4,260,Historical,0,0,Tonga,"-15.6, -175.63",1886,8,31,FALSE,FALSE
Lava dome,Okataina,2,1111,Historical,153,153,New Zealand,"-38.12, 176.5",1886,6,10,FALSE,FALSE
Stratovolcano,Tungurahua,4,5023,Historical,2,2,Ecuador,"-1.467, -78.442",1886,1,11,FALSE,FALSE
Stratovolcano,Mayon,3,2462,Historical,15,15,Philippines,"13.257, 123.685",1887,3,9,FALSE,FALSE
Stratovolcano,Ritter Island,3,140,Historical,0,0,Papua New Guinea,"-5.52, 148.121",1888,3,13,TRUE,FALSE
Stratovolcano,Bandai,4,1819,Historical,461,461,Japan,"37.6, 140.08",1888,7,15,FALSE,FALSE
Submarine volcano,Banua Wuhu,2,-5,Historical,0,0,Indonesia,"3.138, 125.491",1889,9,6,TRUE,TRUE
Stratovolcano,Makian,2,1357,Historical,0,0,Indonesia,"0.32, 127.4",1890,6,29,FALSE,FALSE
Stratovolcano,Victory,2,1925,Historical,0,0,Papua New Guinea,"-9.2, 149.07",1890,0,0,FALSE,FALSE
Caldera,Tofua,2,512,Historical,0,0,Tonga,"-19.75, -175.07",1892,8,30,TRUE,FALSE
Stratovolcano,Sorikmarapi,2,2145,Historical,180,180,Indonesia,"0.686, 99.539",1892,5,21,FALSE,FALSE
Stratovolcano,Awu,3,1320,Historical,1532,1532,Indonesia,"3.67, 125.5",1892,6,7,TRUE,FALSE
Stratovolcano,Calbuco,4,2003,Historical,0,0,Chile,"-41.326, -72.614",1893,1,7,FALSE,FALSE
Stratovolcano,Azuma,2,2024,Historical,2,2,Japan,"37.73, 140.25",1893,5,19,FALSE,FALSE
Pyroclastic shield,Ambrym,3,1334,Historical,10,10,Vanuatu,"-16.25, 168.12",1894,10,0,FALSE,FALSE
Caldera,Dakataua,2,400,Anthropology,0,0,Papua New Guinea,"-5.056, 150.108",1895,0,0,FALSE,FALSE
Shield volcano,Kirishima,2,1700,Historical,4,4,Japan,"31.93, 130.87",1895,10,16,FALSE,FALSE
Stratovolcano,Semeru,2,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1895,5,22,FALSE,FALSE
Stratovolcano,Karkar,2,1839,Historical,1,21,Papua New Guinea,"-4.649, 145.964",1895,6,17,FALSE,FALSE
Shield volcano,Kirishima,2,1700,Historical,1,1,Japan,"31.93, 130.87",1896,3,15,FALSE,FALSE
Stratovolcano,Tinakula,2,851,Historical,0,0,Solomon Is.,"-10.38, 165.8",1897,3,26,TRUE,FALSE
Stratovolcano,Mayon,3,2462,Historical,350,350,Philippines,"13.257, 123.685",1897,5,23,FALSE,FALSE
Stratovolcano,Manam,2,1807,Historical,2,2,Papua New Guinea,"-4.1, 145.061",1899,0,0,FALSE,FALSE
Stratovolcano,Dona Juana,4,4150,Historical,55,55,Colombia,"1.47, -76.92",1899,11,13,FALSE,FALSE
Pumice cone,Tullu Moje,0,2349,Anthropology,0,0,Ethiopia,"8.158, 39.13",1900,0,0,FALSE,FALSE
Stratovolcano,Adatara,2,1718,Historical,72,72,Japan,"37.62, 140.28",1900,7,17,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,25,25,Japan,"36.4, 138.53",1900,1,22,FALSE,FALSE
Shield volcano,Kirishima,2,1700,Historical,2,2,Japan,"31.93, 130.87",1900,2,16,FALSE,FALSE
Stratovolcano,Epi,0,833,Historical,0,0,Vanuatu,"-16.68, 168.37",1901,8,9,TRUE,TRUE
Stratovolcano,Kelut,3,1731,Historical,0,0,Indonesia,"-7.93, 112.308",1901,5,22,FALSE,FALSE
Stratovolcano,Pelee,4,1397,Historical,1500,1500,Martinique,"14.82, -61.17",1902,8,30,TRUE,FALSE
Stratovolcano,Santa Maria,6,3772,Historical,2500,10000,Guatemala,"14.756, -91.552",1902,10,25,FALSE,FALSE
Stratovolcano,Soufriere St. Vincent,4,1220,Historical,1680,1680,St. Vincent & the Grenadines,"13.33, -61.18",1902,5,7,TRUE,FALSE
Stratovolcano,Pelee,0,1397,Historical,0,0,Martinique,"14.82, -61.17",1902,5,20,TRUE,FALSE
Stratovolcano,Pelee,0,1397,Historical,23,23,Martinique,"14.82, -61.17",1902,5,5,TRUE,FALSE
Stratovolcano,Tori-shima,3,403,Historical,125,125,Japan,"30.48, 140.32",1902,8,7,FALSE,FALSE
Stratovolcano,Merapi,2,2947,Historical,16,16,Indonesia,"-7.542, 110.442",1902,12,0,FALSE,FALSE
Stratovolcano,Pelee,4,1397,Historical,28000,28000,Martinique,"14.82, -61.17",1902,5,8,TRUE,FALSE
Shield volcano,Karthala,0,2361,Historical,17,17,Comoros,"-11.75, 43.38",1903,0,0,FALSE,FALSE
Lava dome,Okataina,1,1111,Historical,4,4,New Zealand,"-38.12, 176.5",1903,8,30,FALSE,FALSE
Shield volcano,Karthala,2,2361,Historical,1,1,Comoros,"-11.75, 43.38",1904,2,25,FALSE,FALSE
Shield volcano,Savai'i,2,1858,Historical,0,0,Samoa,"-13.612, -172.525",1905,8,4,TRUE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,1,1,Italy,"40.821, 14.426",1905,3,10,FALSE,FALSE
Complex volcano,Vesuvius,3,1281,Historical,350,350,Italy,"40.821, 14.426",1906,4,4,TRUE,FALSE
Stratovolcano,Lewotobi,2,1703,Historical,1,1,Indonesia,"-8.53, 122.775",1907,9,28,FALSE,FALSE
Shield volcano,Savai'i,0,1858,Historical,0,0,Samoa,"-13.612, -172.525",1907,10,6,TRUE,FALSE
Shield volcano,Alayta,2,1501,Historical,0,0,Ethiopia,"12.88, 40.57",1907,8,4,FALSE,FALSE
Submarine volcano,Unnamed,0,-500,Historical,0,0,Tonga,"-21.38, -175.65",1907,7,0,TRUE,TRUE
Stratovolcano,"Cameroon, Mt.",2,4095,Historical,0,0,Cameroon,"4.203, 9.17",1909,4,28,FALSE,TRUE
Stratovolcano,Semeru,2,3676,Historical,221,221,Indonesia,"-8.108, 112.92",1909,9,0,FALSE,FALSE
Caldera,Taupo,0,760,Radiocarbon,1,1,New Zealand,"-38.82, 176.0",1910,3,20,FALSE,FALSE
Stratovolcano,Usu,2,731,Historical,1,1,Japan,"42.53, 140.83",1910,7,25,FALSE,FALSE
Stratovolcano,Semeru,3,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1911,11,8,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,1,1,Japan,"36.4, 138.53",1911,5,8,FALSE,FALSE
Stratovolcano,Taal,3,400,Historical,1335,1335,Philippines,"14.002, 120.993",1911,1,30,TRUE,TRUE
Complex volcano,Asama,2,2560,Historical,0,0,Japan,"36.4, 138.53",1911,8,15,FALSE,FALSE
Mud volcano,Piparo,0,140,Historical,0,0,Trinidad,"10.0, -61.0",1911,11,3,TRUE,FALSE
Shield volcano,Nyamuragira,3,3058,Historical,20,20,"Congo, DRC","-1.408, 29.2",1912,12,3,FALSE,FALSE
Caldera,Novarupta,6,841,Historical,2,2,United States,"58.27, -155.16",1912,9,6,FALSE,FALSE
Stratovolcano,Colima,4,3850,Historical,13,13,Mexico,"19.514, -103.62",1913,1,20,FALSE,FALSE
Pyroclastic shield,Ambrym,3,1334,Historical,21,21,Vanuatu,"-16.25, 168.12",1913,12,6,FALSE,FALSE
Stratovolcano,Semeru,2,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1913,6,23,FALSE,FALSE
Complex volcano,Asama,1,2560,Historical,1,1,Japan,"36.4, 138.53",1913,5,29,FALSE,FALSE
Stratovolcano,Awu,2,1320,Historical,0,138,Indonesia,"3.67, 125.5",1913,3,14,TRUE,TRUE
Shield volcano,Aoba,0,1496,Historical,100,100,Vanuatu,"-15.4, 167.83",1914,0,0,FALSE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,28,63,Japan,"31.58, 130.67",1914,1,12,TRUE,TRUE
Caldera,Pago,3,742,Historical,0,0,Papua New Guinea,"-5.58, 150.52",1914,1,18,FALSE,FALSE
Stratovolcano,White Island,0,321,Historical,11,11,New Zealand,"-37.52, 177.18",1914,9,10,FALSE,FALSE
Stratovolcano,Tungurahua,4,5023,Historical,0,0,Ecuador,"-1.467, -78.442",1916,3,3,FALSE,FALSE
Stratovolcano,Stromboli,3,926,Historical,0,0,Italy,"38.789, 15.213",1916,7,3,TRUE,FALSE
Stratovolcano,San Salvador,3,1893,Historical,325,325,El Salvador,"13.736, -89.286",1917,6,7,FALSE,TRUE
Lava dome,Okataina,1,1111,Historical,2,2,New Zealand,"-38.12, 176.5",1917,4,1,FALSE,FALSE
Stratovolcano,"Lengai, Ol Doinyo",3,2890,Historical,0,0,Tanzania,"-2.751, 35.902",1917,1,1,FALSE,FALSE
Stratovolcano,Calbuco,3,2003,Historical,0,0,Chile,"-41.326, -72.614",1917,4,0,FALSE,FALSE
Submarine volcano,Banua Wuhu,3,-5,Historical,0,0,Indonesia,"3.138, 125.491",1918,7,18,TRUE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",1918,10,12,FALSE,FALSE
Stratovolcano,Kelut,4,1731,Historical,5110,5110,Indonesia,"-7.93, 112.308",1919,5,19,FALSE,FALSE
Stratovolcano,Stromboli,3,926,Historical,4,4,Italy,"38.789, 15.213",1919,5,22,TRUE,FALSE
Stratovolcano,Nasu,0,1917,Historical,2,2,Japan,"37.12, 139.97",1919,7,6,FALSE,FALSE
Shield volcano,Mauna Loa,0,4170,Historical,0,0,United States,"19.475, -155.608",1919,9,29,TRUE,FALSE
Submarine volcano,Banua Wuhu,0,-5,Historical,0,0,Indonesia,"3.138, 125.491",1919,4,3,TRUE,FALSE
Stratovolcano,Popocatepetl,1,5426,Historical,0,0,Mexico,"19.023, -98.622",1919,2,19,FALSE,FALSE
Stratovolcano,Izalco,3,1950,Historical,0,0,El Salvador,"13.813, -89.633",1920,10,29,FALSE,FALSE
Stratovolcano,Merapi,3,2947,Historical,33,33,Indonesia,"-7.542, 110.442",1920,7,25,FALSE,FALSE
Stratovolcano,Nasu,0,1917,Historical,1,1,Japan,"37.12, 139.97",1921,11,26,FALSE,FALSE
Shield volcano,Kirishima,2,1700,Historical,1,1,Japan,"31.93, 130.87",1923,7,1,FALSE,FALSE
Stratovolcano,Tangkubanparahu,0,2084,Historical,3,3,Indonesia,"-6.77, 107.6",1923,6,0,FALSE,FALSE
Stratovolcano,Papandayan,1,2665,Historical,1,1,Indonesia,"-7.32, 107.73",1923,3,11,FALSE,FALSE
Submarine volcanoes,"Cendres, Ile des",2,-20,Historical,0,0,Vietnam,"10.158, 109.014",1923,3,2,TRUE,TRUE
Shield volcano,Kilauea,2,1222,Historical,1,1,United States,"19.425, -155.292",1924,5,10,FALSE,FALSE
Stratovolcano,Tokachi,3,2077,Historical,144,144,Japan,"43.42, 142.68",1926,5,24,FALSE,FALSE
Stratovolcano,Esjufjoll,1,1760,Historical,1,1,Iceland,"64.27, -16.65",1927,9,5,FALSE,FALSE
Stratovolcano,Paluweh,3,875,Historical,98,226,Indonesia,"-8.32, 121.708",1928,8,4,TRUE,FALSE
Stratovolcano,Etna,1,3350,Historical,5,5,Italy,"37.734, 15.004",1928,11,2,FALSE,FALSE
Stratovolcano,Mayon,3,2462,Historical,0,0,Philippines,"13.257, 123.685",1928,1,0,FALSE,FALSE
Caldera,Krakatau,0,813,Historical,0,0,Indonesia,"-6.102, 105.423",1928,3,28,TRUE,FALSE
Shield volcano,Santorini,2,329,Historical,48,48,Greece,"36.404, 25.396",1928,1,23,FALSE,FALSE
Complex volcano,Dieng Volc Complex,2,2565,Historical,40,40,Indonesia,"-7.2, 109.92",1928,5,13,FALSE,FALSE
Stratovolcano,Santa Maria,3,3772,Historical,200,200,Guatemala,"14.756, -91.552",1929,11,2,FALSE,FALSE
Stratovolcano,Calbuco,3,2003,Historical,0,0,Chile,"-41.326, -72.614",1929,1,6,FALSE,FALSE
Stratovolcano,Etna,2,3350,Historical,2,2,Italy,"37.734, 15.004",1929,8,2,FALSE,FALSE
Stratovolcano,Komaga-take,4,1140,Historical,2,2,Japan,"42.07, 140.68",1929,6,17,FALSE,FALSE
Caldera,Krakatau,2,813,Historical,0,0,Indonesia,"-6.102, 105.423",1930,3,17,TRUE,FALSE
Stratovolcano,Stromboli,3,926,Historical,5,6,Italy,"38.789, 15.213",1930,9,11,TRUE,FALSE
Stratovolcano,Merapi,3,2947,Historical,1369,1369,Indonesia,"-7.542, 110.442",1930,12,18,FALSE,FALSE
Complex volcano,Asama,3,2560,Historical,6,6,Japan,"36.4, 138.53",1930,8,20,FALSE,FALSE
Complex volcano,Asama,3,2560,Historical,3,3,Japan,"36.4, 138.53",1931,8,20,FALSE,FALSE
Stratovolcano,Fuego,4,3763,Historical,0,0,Guatemala,"14.473, -90.88",1932,1,21,FALSE,FALSE
Stratovolcano,Kusatsu-Shirane,3,2176,Historical,2,2,Japan,"36.62, 138.55",1932,10,1,FALSE,FALSE
Stratovolcano,Merapi,0,2947,Historical,0,0,Indonesia,"-7.542, 110.442",1932,2,0,FALSE,FALSE
Stratovolcano,Bulusan,2,1565,Historical,0,9,Philippines,"12.77, 124.05",1933,12,25,TRUE,FALSE
Complex volcano,Hakone,0,1438,Radiocarbon,1,1,Japan,"35.22, 139.02",1933,5,10,FALSE,FALSE
Stratovolcano,Kharimkotan,3,1145,Historical,0,2,Russia,"49.12, 154.508",1933,1,8,TRUE,FALSE
Stratovolcano,Kuchinoerabu-jima,4,649,Historical,8,8,Japan,"30.43, 130.22",1933,12,24,FALSE,FALSE
Stratovolcano,Hood,0,3426,Historical,1,1,United States,"45.374, -121.694",1934,0,0,FALSE,FALSE
Complex volcano,Asama,3,2560,Historical,2,2,Japan,"36.4, 138.53",1936,2,0,FALSE,FALSE
Stratovolcano,Llaima,2,3125,Historical,3,3,Chile,"-38.692, -71.729",1937,2,9,FALSE,FALSE
Pyroclastic shield,Rabaul,4,688,Historical,507,507,Papua New Guinea,"-4.271, 152.203",1937,5,29,TRUE,TRUE
Complex volcano,Asama,1,2560,Historical,0,0,Japan,"36.4, 138.53",1938,7,16,FALSE,FALSE
Stratovolcano,Mayon,2,2462,Historical,0,0,Philippines,"13.257, 123.685",1938,6,5,FALSE,FALSE
Stratovolcano,Bandai,0,1819,Historical,2,2,Japan,"37.6, 140.08",1938,5,9,FALSE,FALSE
Shield volcano,Nyamuragira,1,3058,Historical,0,0,"Congo, DRC","-1.408, 29.2",1938,1,28,TRUE,FALSE
Stratovolcano,Tori-shima,2,403,Historical,2,2,Japan,"30.48, 140.32",1939,8,17,FALSE,FALSE
Complex volcano,Dieng Volc Complex,1,2565,Historical,10,10,Indonesia,"-7.2, 109.92",1939,10,13,FALSE,FALSE
Submarine volcano,Kick-'em-Jenny,1,-177,Historical,0,0,Netherlands,"12.3, -61.63",1939,7,24,TRUE,FALSE
Stratovolcano,"Lengai, Ol Doinyo",2,2890,Historical,0,0,Tanzania,"-2.751, 35.902",1940,7,24,FALSE,FALSE
Stratovolcano,Karangetang [Api Siau],2,1784,Historical,1,1,Indonesia,"2.78, 125.48",1940,6,20,FALSE,FALSE
Stratovolcano,Miyake-jima,2,815,Historical,11,11,Japan,"34.08, 139.53",1940,7,12,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,1,1,Japan,"36.4, 138.53",1941,7,13,FALSE,FALSE
Stratovolcano,Semeru,2,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1941,9,21,FALSE,FALSE
Shield volcano,"Azul, Cerro",3,1690,Historical,1,1,Ecuador,"-0.9, -91.42",1943,4,13,FALSE,FALSE
Cinder cone,Michoacan-Guanajuato,4,3860,Historical,3,103,Mexico,"19.48, -102.25",1943,2,20,FALSE,FALSE
Complex volcano,Vesuvius,2,1281,Historical,27,27,Italy,"40.821, 14.426",1944,3,27,FALSE,FALSE
Stratovolcano,Stromboli,2,926,Historical,0,0,Italy,"38.789, 15.213",1944,8,20,TRUE,FALSE
Stratovolcano,Usu,2,731,Historical,1,1,Japan,"42.53, 140.83",1944,6,23,FALSE,FALSE
Stratovolcano,Usu,2,731,Historical,1,1,Japan,"42.53, 140.83",1944,8,26,FALSE,FALSE
Stratovolcano,Cleveland,3,1730,Historical,1,1,United States,"52.82, -169.95",1944,6,10,FALSE,FALSE
Complex volcano,Dieng Volc Complex,2,2565,Historical,117,117,Indonesia,"-7.2, 109.92",1944,12,4,FALSE,FALSE
Stratovolcano,Sakura-jima,2,1117,Historical,1,1,Japan,"31.58, 130.67",1946,1,0,FALSE,FALSE
Stratovolcano,Semeru,2,3676,Historical,6,6,Indonesia,"-8.108, 112.92",1946,2,0,FALSE,FALSE
Stratovolcano,Sarychev Peak,4,1496,Historical,0,0,Russia,"48.092, 153.2",1946,11,13,TRUE,FALSE
Stratovolcano,Semeru,2,3676,Historical,0,0,Indonesia,"-8.108, 112.92",1946,10,29,FALSE,FALSE
Stratovolcano,Mayon,2,2462,Historical,0,0,Philippines,"13.257, 123.685",1947,1,7,FALSE,FALSE
Stratovolcano,Hekla,4,1491,Historical,1,1,Iceland,"63.98, -19.7",1947,11,2,FALSE,FALSE
Stratovolcano,Akagi,0,1828,Historical,699,699,Japan,"36.53, 139.18",1947,9,16,FALSE,FALSE
Complex volcano,Asama,2,2560,Historical,11,11,Japan,"36.4, 138.53",1947,7,6,FALSE,FALSE
